Merchant_ID,Name,Email,Phone,City
1,Ford and Sons,rebeccamoody@wilson.com,9657467556,Miami
2,"Anderson, Gould and Wang",thomasashley@klein-thomas.biz,9190437975,Miami
3,Carter-Rodriguez,sampsonmatthew@fisher.com,4628468360,Chicago
4,"Frost, Rodriguez and Hodge",richardwalker@carson.com,4369505873,Seattle
5,"Cox, Skinner and Griffith",heather57@gallagher.biz,7248885733,Atlanta
6,"Rivera, Schwartz and Strong",pross@alvarez.com,0602022767,New York
7,Perry and Sons,gregory45@anderson.biz,0846723287,Atlanta
8,Watson-Anderson,vowens@stokes.net,1341585190,Denver
9,Clark-Villegas,xarnold@johnson.info,7214428076,Atlanta
10,"Santos, Robinson and White",dhernandez@roberts.com,8112599742,Houston
11,Phillips Inc,adamsmargaret@acevedo.com,0278055883,Denver
12,Robinson-Mayo,angela10@ball.com,9171651073,Los Angeles
13,Dunn Inc,jstephens@parks.com,5924703779,Seattle
14,Petersen Inc,ubarnes@harris.com,7946243094,Boston
15,Hines-Garza,david18@stout.biz,5700815841,Atlanta
16,"Reid, Wilson and Larsen",sherrygeorge@lamb.com,7120099060,Denver
17,"Bryant, Carter and Shepherd",traceyoneal@myers.com,6155145545,Dallas
18,Perez Group,michelle11@collins-patterson.biz,0802361558,Denver
19,"Thomas, Patton and Atkins",franksanchez@schneider-harper.com,5621195315,Houston
20,Long-Bentley,hansonryan@jordan.com,3840733756,Chicago
21,Parker Group,idelgado@fisher-thomas.com,1690319139,Miami
22,"Travis, Thomas and Miller",xconley@reyes.com,0190288734,Denver
23,"Sanders, Smith and Myers",coopercrystal@crawford-mendez.biz,3160269757,Chicago
24,Huynh-Dickson,grahammichelle@rogers-wood.com,6214341141,Boston
25,Thomas Group,janehernandez@mckay.org,4003936775,New York
26,"Stevenson, Johnson and Snyder",ronaldrowland@elliott-osborne.com,2728470932,Atlanta
27,"Frederick, Guerra and Kelley",hendersonjonathan@gamble.com,0944929889,Los Angeles
28,"Long, Clements and Chen",lstephens@sanchez-jones.com,1542084473,Los Angeles
29,Lee-Jarvis,angelachandler@davenport-russell.biz,6086894058,Atlanta
30,Jones-Higgins,xdillon@white-yoder.com,8655636294,Chicago
31,Moore Group,daniel23@marks-martin.biz,0833597422,Houston
32,Moore Group,donnahansen@smith.com,9085589689,Boston
33,"Fuller, Greene and White",riosjustin@jenkins.com,7783135167,Dallas
34,"Johnson, Stone and Hale",ogriffith@gutierrez-montgomery.com,2695573820,Denver
35,Moore Ltd,brett70@williams.org,4788893271,Seattle
36,Cox-Holt,jennifer68@johnson-campos.com,5341736961,Seattle
37,"Robbins, Wagner and Walters",kaitlynacosta@petty.info,9625542082,Chicago
38,"Bonilla, Miles and Bryant",martinezmercedes@green.biz,2159279482,Boston
39,"Ellis, Rodriguez and Martinez",scase@williamson.com,4801287361,Miami
40,Ford LLC,mariasanford@hutchinson-anderson.net,8451787440,Denver
41,"Padilla, Whitney and Duran",wendyreeves@smith.com,6706923358,Dallas
42,"Lee, Allen and Dixon",washingtonchristine@farley-martinez.com,0414804387,New York
43,Roberts-Jones,thomasleblanc@lowery.info,8465015882,Chicago
44,Watkins and Sons,lisablack@ramos-thompson.com,6043048161,Chicago
45,Caldwell LLC,matthewburgess@small-gonzalez.com,7675374053,Miami
46,Harris-Wilson,wjoseph@kim-carroll.info,3488569744,Boston
47,Jones-Jarvis,dawn15@kirby.info,7700323476,Boston
48,Schmidt PLC,veronica30@scott.com,2286562802,Chicago
49,"Schaefer, Curtis and Kent",gilbertandrew@patterson-barrett.com,8330038974,Chicago
50,Morris Group,kellydavid@james.net,6101385699,Chicago
51,Duran-Stanley,maryhall@brown.com,6276383722,Denver
52,Campbell-Gates,jamesbaxter@tran.org,0117981845,Seattle
53,Nelson Group,bstevenson@burnett.com,0573058374,Los Angeles
54,Wagner Group,alexhernandez@gibbs.com,4076590852,Denver
55,Juarez PLC,fdavis@patton.com,3768489598,Houston
56,Forbes-Martinez,betty44@rodriguez.org,6810440100,Los Angeles
57,Wilson-Carlson,leslie71@castillo.biz,6561558990,New York
58,"Hooper, Glass and Lawson",smallstacey@richmond.com,2304064856,Dallas
59,"Jones, Irwin and Ramirez",pamelaoneal@watson.com,6861860604,Dallas
60,Smith PLC,grantbradford@castro.info,4606929634,Miami
61,Martinez-Perez,pattersondarrell@bartlett-foster.com,9067799537,Chicago
62,Preston-Fitzgerald,zsmith@bolton-christian.com,7635718147,Denver
63,"Morris, Harris and Miller",heatherreed@nelson.com,4183353590,Houston
64,Cummings-Leblanc,ejohnson@stout.org,4827057107,Boston
65,"Thompson, Baker and Cook",adamsdaniel@valenzuela-vasquez.com,0910995271,Miami
66,Melendez and Sons,pierceronald@jimenez.com,7186647638,Dallas
67,Allen-Smith,joshua61@carroll.info,0210090215,Houston
68,Price Inc,gmoran@rodriguez-barajas.net,6752206896,New York
69,"West, Berger and White",uhancock@sutton.biz,0341221299,Boston
70,Gallagher-Ward,jared47@johnson.com,7577852366,Seattle
71,"Rojas, Phillips and Arnold",lcochran@hampton-campos.org,1742818156,Houston
72,"Foster, Moore and Miller",paigetaylor@hoffman-todd.com,3039895099,Houston
73,"Davis, Bennett and Harris",xthompson@shields.com,3329630123,Dallas
74,Baker-Frost,anthony44@williams.com,7580430206,Houston
75,Watson-Roy,richard98@johnson.biz,7614512661,Denver
76,Edwards Group,jamescrystal@barr.com,8113062825,Seattle
77,"Peterson, Hernandez and Gould",yangapril@cooley.net,4148858633,Seattle
78,Ferguson-Atkinson,zmorales@contreras.biz,7604235213,Boston
79,White Ltd,cartersuzanne@hernandez.biz,0656724463,New York
80,Rodriguez PLC,jadeyoung@dawson-ford.net,5269537688,Miami
81,West Group,carrillojessica@riggs-allen.com,7664530906,Miami
82,"Torres, Martinez and Martinez",moyerapril@woods.com,7569856295,Houston
83,Ewing-Hughes,sheliaparrish@drake.com,7462187624,Los Angeles
84,Jones and Sons,bwilliams@ramirez.org,7801267658,New York
85,"Rivera, Johnson and Orr",omiller@palmer.biz,8180809588,Miami
86,"Torres, Hayes and Harris",tbyrd@shepard-fox.com,5634233343,Atlanta
87,"Carter, Norton and Key",owalter@johnston.net,1137963895,Denver
88,"Graham, Turner and Estrada",jessicagilbert@bennett.com,0476272988,Atlanta
89,Jackson-Flores,andrew43@ray.com,5998359869,Chicago
90,Young Ltd,dnguyen@pham.com,3989903382,Atlanta
91,Gentry Ltd,hayeserin@estrada.net,7181930726,Los Angeles
92,Garcia-Lynch,johnsongarrett@lewis.com,0725723981,Houston
93,"Singh, Gibbs and Yoder",christie93@schneider.com,7597392926,Houston
94,"Robinson, Ross and Marshall",chernandez@hayes-holmes.com,9329240951,Chicago
95,"Parker, Holmes and Mckee",qboyd@montes-nelson.net,1736219597,Chicago
96,Griffin-Rice,annette09@wilkins-day.biz,7647928851,Boston
97,Johnson and Sons,debbie04@burton.com,5762591161,Miami
98,Cruz Group,brittany41@cooley.com,2477317618,Miami
99,"Owens, Johnson and Rojas",owoods@larson.biz,8695138584,Denver
100,"Joyce, Watkins and Wilson",robert35@quinn-brown.com,0492469844,Atlanta
101,"Wu, Hunt and Tran",robert63@wilson.com,1999329516,Houston
102,Porter LLC,susanmartin@martin.com,6689034877,New York
103,"Martinez, Turner and Bennett",mariawhite@ballard-andrade.com,3972255321,Dallas
104,Warner PLC,jason57@carroll-pearson.biz,3524734798,Chicago
105,Hunter PLC,mmitchell@reynolds-mcdonald.info,4220182962,Miami
106,Wiggins PLC,xthornton@rowe-davis.com,4462568622,Denver
107,Chapman LLC,johnsonkayla@rivera.com,0745575624,Dallas
108,"Reyes, Hayes and Rios",kristin10@fox.org,3887201493,Miami
109,Kidd PLC,nicholas96@castro-bird.org,2043663064,Seattle
110,Conley LLC,qpeterson@preston.com,4488004747,Boston
111,"Stokes, Moreno and Smith",dreed@church.com,8081302060,Denver
112,Reyes PLC,williamvaldez@carter.com,2591076043,Los Angeles
113,Escobar-Harper,huberrussell@guzman-cole.com,3046800216,Boston
114,"Sloan, Walker and Thomas",olsondaniel@tapia-cross.info,2559148790,Houston
115,Miller LLC,zwillis@sanchez.com,9736898258,Seattle
116,Odonnell LLC,kellydebra@day-harvey.com,9348318638,Atlanta
117,"Ford, Hernandez and Vazquez",jacqueline95@evans-barker.info,3954795989,Dallas
118,"Hardy, Mason and Rose",shawnarnold@ross.com,3276068016,Chicago
119,"Freeman, Smith and Cooper",victor38@hutchinson.biz,0043554329,Atlanta
120,Mosley-Brown,adamstracy@sanders-ramirez.com,5270879227,Dallas
121,Parker-Flores,johnsontara@wood.biz,5749018734,Dallas
122,Sexton-Hernandez,hannah52@allen.biz,2955336455,Boston
123,"Mcdonald, Donovan and Ritter",willielove@murray.com,1388615531,New York
124,Schmidt LLC,vmontgomery@johnson-white.com,8245469760,Seattle
125,"Duncan, Brewer and Miller",jordansarah@martinez.org,1124255407,Miami
126,Rogers-Keller,samantha80@lee-king.com,6941930950,Boston
127,Wilson PLC,kellyteresa@jackson.com,1200189236,Seattle
128,Sanders-Williams,mark61@french.net,3981546907,Miami
